Fishery,Gear,Year,Number of Boats,Number of Shots,Hours Trawled,Hours Fished,Number of Hooks,Length Gillnet,Hours Searched,Number of Jigs,Number of Traps,Data Source
BSCZSF,Scallop dredge,2002,2,265,,97,,,,,,Logbook
BSCZSF,Scallop dredge,2003,36,21865,,5602,,,,,,Logbook
BSCZSF,Scallop dredge,2004,14,5768,,1423,,,,,,Logbook
BSCZSF,Scallop dredge,2005,11,2472,,677,,,,,,Logbook
BSCZSF,Scallop dredge,2009,26,15462,,3947,,,,,,Logbook
BSCZSF,Scallop dredge,2010,18,16017,,4853,,,,,,Logbook
BSCZSF,Scallop dredge,2011,12,8073,,2777,,,,,,Logbook
BSCZSF,Scallop dredge,2012,12,4260,,1341,,,,,,Logbook
BSCZSF,Scallop dredge,2013,12,2523,,685,,,,,,Logbook
BSCZSF,Scallop dredge,2014,11,9000,,2739,,,,,,Logbook
BSCZSF,Scallop dredge,2015,11,12239,,4116,,,,,,Logbook
BSCZSF,Scallop dredge,2016,12,17706,,6894,,,,,,Logbook
BSCZSF,Scallop dredge,2017,12,16836,,5274,,,,,,Logbook
BSCZSF,Scallop dredge,2018,12,17767,,5414,,,,,,Logbook
CSF,Hooks,2002,7,179,,,0,,,,,Logbook
CSF,Trawl,2002,1,51,,,,,,,,Logbook
CSF,Hooks,2003,8,343,,,,,,,,Logbook
CSF,Trawl,2003,3,99,,,,,,,,Logbook
CSF,Hooks,2004,8,408,,,,,,,,Logbook
CSF,Pots and traps,2004,2,35,,,,,,,,Logbook
CSF,Trawl,2004,2,95,,,,,,,,Logbook
CSF,Hooks,2005,9,293,,,,,,,,Logbook
CSF,Pots and traps,2005,4,290,,,,,,,,Logbook
CSF,Trawl,2005,1,1,,,,,,,,Logbook
CSF,Hooks,2006,3,4717,,,50716,,,,,Logbook
CSF,Pots and traps,2006,3,6954,,,,,,,6727,Logbook
CSF,Trawl,2006,1,26,57,,,,,,,Logbook
CSF,Hooks,2007,5,895,,,170650,,,,,Logbook
CSF,Pots and traps,2007,3,13022,,,,,,,10962,Logbook
CSF,Trawl,2007,1,242,892,,,,,,,Logbook
CSF,Hooks,2008,4,1430,,,94882,,,,,Logbook
CSF,Pots and traps,2008,2,2224,,,,,,,1987,Logbook
CSF,Hooks,2009,2,38,,,15216,,,,,Logbook
CSF,Hooks,2010,1,29,,,615,,,,,Logbook
CSF,Pots and traps,2010,1,5312,,,,,,,3300,Logbook
CSF,Hooks,2011,3,128,,,73074,,,,,Logbook
CSF,Pots and traps,2011,1,5769,,,,,,,3834,Logbook
CSF,Hooks,2012,2,46,,,283390,,,,,Logbook
CSF,Hooks,2013,3,135,,,321408,,,,,Logbook
CSF,Hooks,2014,3,177,,,133019,,,,,Logbook
CSF,Hooks,2015,2,98,,,69290,,,,,Logbook
CSF,Hooks,2016,4,1190,,,182560,,,,,Logbook
CSF,Hooks,2017,6,889,,,364672,,,,,Logbook
CSF,Hooks,2018,3,376,,,289414,,,,,Logbook
CSF,Trawl,2018,1,8,6,,,,,,,Logbook
ECDW,Trawl,2002,3,102,25,,,,,,,Logbook
ECDW,Trawl,2003,2,189,62,,,,,,,Logbook
ECDW,Trawl,2004,2,269,87,,,,,,,Logbook
ECDW,Trawl,2005,1,103,127,,,,,,,Logbook
ECDW,Trawl,2007,1,79,15,,,,,,,Logbook
ECDW,Trawl,2009,1,19,7,,,,,,,Logbook
ECDW,Trawl,2011,1,167,128,,,,,,,Logbook
ECDW,Trawl,2012,2,233,85,,,,,,,Logbook
ECDW,Trawl,2013,1,43,9,,,,,,,Logbook
GAB,Trawl,2002,8,2586,12989,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2003,1,1,0,,,,,,,Logbook
GAB,Trawl,2003,13,4600,23383,,,,,,,Logbook
GAB,Trawl,2004,12,5589,28065,,,,,,,Logbook
GAB,Trawl,2005,10,6261,31922,,,,,,,Logbook
GAB,Trawl,2006,12,5921,30477,,,,,,,Logbook
GAB,Trawl,2007,9,4537,22932,,,,,,,Logbook
GAB,Trawl,2008,7,3640,17907,,,,,,,Logbook
GAB,Trawl,2009,4,3385,16869,,,,,,,Logbook
GAB,Trawl,2010,4,3160,15896,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2011,1,525,30,,,,,,,Logbook
GAB,Trawl,2011,4,3307,16878,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2012,1,733,,,,,,,,Logbook
GAB,Trawl,2012,5,3464,18059,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2013,2,763,1191,,,,,,,Logbook
GAB,Trawl,2013,6,3628,18818,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2014,1,629,1480,,,,,,,Logbook
GAB,Trawl,2014,6,3464,18061,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2015,1,479,1020,,,,,,,Logbook
GAB,Trawl,2015,3,2402,12246,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2016,1,459,1114,,,,,,,Logbook
GAB,Trawl,2016,4,2446,12495,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2017,1,452,989,,,,,,,Logbook
GAB,Trawl,2017,5,2729,13439,,,,,,,Logbook
GAB,Danish seine (trawl fishery),2018,1,584,838,,,,,,,Logbook
GAB,Trawl,2018,4,2755,13426,,,,,,,Logbook
CTS,Danish seine (trawl fishery),2002,23,10561,2060,,,,,,,Logbook
CTS,Trawl,2002,82,32823,106592,,,,,,,Logbook
CTS,Danish seine (trawl fishery),2003,22,10666,7735,,,,,,,Logbook
CTS,Trawl,2003,82,32591,108913,,,,,,,Logbook
CTS,Danish seine (trawl fishery),2004,22,9121,5744,,,,,,,Logbook
CTS,Trawl,2004,77,31604,109573,,,,,,,Logbook
CTS,Danish seine (trawl fishery),2005,22,8860,5832,,,,,,,Logbook
